NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1.06,5.01,0.13,1.97,8.16
5.8,2.01,0.13,0.15,8.09
2.79,1.72,3.14,0.41,8.07
2.91,2.07,2.73,0.33,8.05
0.99,6.42,0,0.6,8.01
2.57,3.86,0.66,0.91,7.99
2.99,3.49,0.22,1.28,7.98
2.28,1.72,3.63,0.23,7.86
7.28,0.45,0,0.08,7.81
2.76,1.72,2.69,0.54,7.72
2.9,2.81,0.24,1.73,7.69
2.81,3.48,0.14,1.23,7.66
4.1,1.89,1.45,0.16,7.6
0.66,5.75,0.08,1.11,7.59
3.78,2.17,1.31,0.31,7.58
3.27,1.37,2.43,0.48,7.55
3.56,2.35,0.98,0.62,7.51
5.39,1.18,0.7,0.19,7.46
4.59,2.11,0.01,0.68,7.39
4.81,1.88,0,0.69,7.38
4.46,2.11,0.06,0.69,7.32
3.27,2.83,0.08,1.02,7.2
3.48,2.99,0,0.73,7.2
2.85,2.89,0.35,1.08,7.17
2.53,3.27,0.24,1.13,7.16
3.27,2.22,1.4,0.29,7.16
3.74,2.14,0.6,0.68,7.15
2.98,1.45,2.26,0.45,7.14
3.68,1.75,1.42,0.28,7.13
3.15,2.15,1.28,0.51,7.09
4.41,1.04,1.39,0.22,7.07
4.12,1.77,0.87,0.19,6.95
2.71,3.02,0.08,1.09,6.9
2.93,2.75,0.17,0.99,6.83
3.23,2.35,0.94,0.3,6.82
4.05,2.16,0,0.55,6.76
4.15,1.9,0.06,0.64,6.75
2.77,2.75,0.19,1.03,6.74
3.45,2.59,0,0.66,6.71
3.11,2.26,0.28,1.03,6.68
3.27,2.2,0.21,0.98,6.66
0.84,4.3,0.11,1.39,6.65
1.66,2.75,1.6,0.62,6.62
3.74,0.93,1.69,0.14,6.51
2.79,2.53,0.17,0.99,6.49
0.78,4.24,0.07,1.37,6.47
2.64,2.52,0.16,1.12,6.45
3.17,1.79,1.03,0.46,6.44
4.98,1.3,0.08,0.07,6.43
2.55,2.6,0.25,1,6.41
2.57,1.58,2.06,0.21,6.41
3.64,1.2,1.49,0.07,6.4
2.55,1.56,1.29,0.99,6.39
4.34,1.34,0.06,0.61,6.34
3.7,1.95,0.09,0.58,6.32
4.01,1.26,0.87,0.17,6.31
2.47,0.83,2.87,0.12,6.3
0.08,6.21,0,0,6.29
3.11,2.8,0.02,0.33,6.27
4.05,1.59,0.07,0.5,6.21
3.92,1.73,0.03,0.51,6.19
3.54,1.88,0.07,0.6,6.09
0.8,4.33,0.05,0.9,6.08
2.45,2.01,0.87,0.72,6.05
4.47,1.2,0.16,0.19,6.03
3.18,1.83,0.78,0.24,6.03
2.63,1.71,0.83,0.82,5.99
1.88,0,2.33,1.74,5.95
2.41,2.18,0.28,0.99,5.87
2.8,1.98,0.17,0.87,5.82
1.88,1.47,2.02,0.45,5.82
0.63,0.67,4.35,0.15,5.78
2.26,1.89,1.36,0.23,5.74
2.49,2.07,0.16,0.92,5.64
3.57,1.55,0,0.51,5.64
3.07,1.91,0.07,0.57,5.63
2.97,0.69,1.81,0.11,5.58
2.95,0.6,1.97,0.04,5.55
2.54,1.93,0.21,0.86,5.55
3.28,1.64,0.07,0.56,5.54
2.99,1.9,0.1,0.5,5.49
3.14,1.24,0.91,0.2,5.49
0.47,0.55,4.13,0.34,5.48
2.71,1.85,0.11,0.81,5.48
2.81,2.19,0,0.47,5.48
2.62,1.64,0.99,0.23,5.47
3.21,1.11,0.95,0.2,5.46
3.18,1.24,0.94,0.09,5.45
2.07,2.29,0.24,0.82,5.42
2.73,1.83,0,0.83,5.39
1.85,2.5,0.19,0.85,5.38
2.18,0.96,2,0.2,5.34
1.74,1.21,1.87,0.51,5.33
3.02,1.12,1.01,0.16,5.31
1.62,0.77,2.78,0.14,5.3
3.13,1.69,0.03,0.44,5.29
1.92,1.08,2.11,0.17,5.29
3.33,0.79,1.09,0.06,5.27
3.22,1.55,0.01,0.48,5.27
2.03,2.37,0,0.87,5.26
3.11,1.55,0.08,0.51,5.26
2.3,2.46,0.2,0.28,5.24
4.26,0.26,0.01,0.71,5.23
0.97,2.11,1.9,0.24,5.23
2.3,1.34,1.27,0.32,5.22
0.65,0.75,3.61,0.2,5.21
2.93,1.25,0.83,0.2,5.2
1.21,2.43,1.03,0.52,5.19
2.49,0.98,1.57,0.15,5.19
1.09,3.47,0.03,0.57,5.16
2.1,0.74,2.2,0.11,5.15
2.44,2.16,0,0.54,5.14
1.98,2.23,0.13,0.8,5.13
2.71,0.61,1.7,0.11,5.13
3.22,1.69,0,0.2,5.12
3.81,0.63,0,0.68,5.12
3.59,1.08,0.05,0.38,5.1
1.63,2.45,0.44,0.57,5.09
1.96,1.41,1.08,0.64,5.09
1.85,1.8,0.95,0.48,5.08
3.4,1.3,0.15,0.22,5.07
0.61,3.28,0.06,1.12,5.07
2.05,1.16,1.11,0.73,5.05
1.7,1.99,0.16,1.18,5.03
3.42,1.38,0.02,0.2,5.02
2.79,1.89,0,0.33,5.01
3.36,1.36,0.07,0.21,5
3.49,0.01,0.01,1.48,4.98
3.05,1.17,0.29,0.46,4.98
1.83,1.19,1.54,0.37,4.93
3.4,0.99,0.09,0.45,4.93
2.31,1.72,0.12,0.77,4.92
3.98,0.26,0.01,0.66,4.91
2.91,0.99,0.89,0.1,4.88
0,0,4.87,0,4.87
2.6,1.08,0.81,0.38,4.87
2.62,0.6,1.52,0.1,4.85
2.57,1.68,0,0.58,4.84
1.91,2,0.09,0.82,4.82
2.74,1.33,0.12,0.61,4.8
2.57,1.57,0.44,0.21,4.79
2.83,1.48,0,0.45,4.76
2.36,2.1,0.02,0.25,4.73
2.99,1.27,0.04,0.42,4.73
1.88,2,0.07,0.77,4.71
1.73,2.19,0,0.79,4.7
3.05,1.41,0.02,0.2,4.68
1.94,1.95,0.08,0.7,4.67
2.29,1.97,0.13,0.24,4.63
1.82,1.12,1.32,0.36,4.62
2.07,1.71,0.08,0.76,4.62
2.42,0.91,1.15,0.13,4.61
2.6,0.99,0.89,0.13,4.6
3.04,1.11,0,0.43,4.6
1.8,1.39,1.11,0.29,4.59
2.08,1.97,0.06,0.46,4.57
1.87,1.96,0.22,0.48,4.53
4.18,0.26,0.01,0.08,4.53
3.19,0.91,0.01,0.42,4.53
4.21,0.24,0,0.05,4.5
3.63,0.24,0.01,0.61,4.49
2.78,1.27,0.03,0.41,4.48
2.71,1.51,0.03,0.23,4.48
0.2,0.14,4.1,0.02,4.47
1.61,2,0.15,0.71,4.46
2.71,1.29,0.02,0.43,4.45
1.54,1.18,1.46,0.26,4.43
2.52,1.11,0.46,0.33,4.42
2.66,1.29,0.01,0.46,4.41
0.1,2.39,1.05,0.86,4.39
2.82,1.03,0.13,0.4,4.38
2.19,0.5,1.61,0.08,4.38
2.03,1.79,0.08,0.47,4.37
2.64,1.33,0.01,0.39,4.36
1.56,1.93,0.19,0.68,4.36
1.74,1.72,0.14,0.75,4.34
3.03,0.91,0.26,0.13,4.34
2.2,0.58,1.38,0.17,4.33
2.09,1.31,0.62,0.31,4.33
2.11,1.16,0.73,0.32,4.32
1.48,2.02,0.14,0.68,4.32
4,0.26,0,0.05,4.31
2.77,1.11,0,0.4,4.29
0.58,3.02,0.04,0.64,4.28
2.51,1.24,0.11,0.41,4.27
3,1.11,0.05,0.07,4.24
2.24,1.31,0.07,0.61,4.23
1.46,0,0.83,1.93,4.23
1.41,2.01,0.1,0.7,4.22
2.51,1.32,0.01,0.38,4.22
0.92,2.89,0.01,0.4,4.22
2.45,1.01,0,0.75,4.21
1.7,2.27,0,0.23,4.21
0.78,2.55,0.04,0.84,4.21
0.88,2.3,0.2,0.83,4.2
1.28,1.82,0.57,0.52,4.19
2.25,1.47,0.04,0.43,4.19
0.84,2.78,0.02,0.53,4.18
3.38,0.44,0.31,0.04,4.17
2.03,1.04,0.58,0.52,4.16
2.04,0.48,1.57,0.07,4.16
3.79,0.27,0,0.11,4.16
3.36,0.21,0.01,0.56,4.14
4.03,0,0.09,0,4.12
1.65,0.61,1.76,0.09,4.12
0.71,2.48,0.03,0.89,4.11
1.42,0.51,2.1,0.07,4.1
2.57,1.52,0,0,4.09
1.1,2.15,0.21,0.61,4.08
2.32,0.04,0.04,1.67,4.07
0.12,2.26,0.9,0.77,4.06
2.66,1.03,0.04,0.33,4.05
2.35,1.27,0.03,0.41,4.05
2.12,1.47,0.05,0.42,4.05
1.4,1.9,0.11,0.64,4.05
2.28,1.55,0.16,0.06,4.05
1.68,1.51,0.51,0.35,4.05
1.13,2.18,0.1,0.63,4.04
2.78,0.58,0.64,0.04,4.03
1.22,0.28,2.46,0.04,4.01
2.08,1.35,0,0.54,3.98
2.67,0.87,0.05,0.38,3.97
1.02,2.13,0.23,0.59,3.97
1.19,2.07,0.08,0.62,3.96
1.53,1.69,0.1,0.64,3.95
2.03,1.16,0.37,0.38,3.95
2.15,1.13,0.07,0.59,3.94
0.9,1.76,0.92,0.37,3.94
1.97,0.76,1.07,0.11,3.91
2.09,1.35,0.06,0.4,3.9
2.29,1.17,0.01,0.42,3.9
0.68,0.48,2.62,0.11,3.89
1.16,2.12,0,0.6,3.88
2.49,0.66,0.03,0.69,3.88
0.93,1.94,0.31,0.7,3.87
0.1,0,3.77,0,3.87
1.53,1.6,0.06,0.67,3.87
1.44,1.41,0.73,0.27,3.85
0.16,1.89,1.12,0.68,3.85
2.13,1.12,0.1,0.5,3.84
2.12,1.44,0.22,0.06,3.84
2.21,0.96,0.54,0.13,3.83
1.78,1.43,0.05,0.57,3.83
0.86,1.56,1.05,0.35,3.83
1.35,1.7,0.15,0.6,3.8
1.05,1.91,0.41,0.42,3.79
1.82,1.24,0.47,0.25,3.77
2.23,0.47,0.81,0.26,3.77
2.4,1.01,0,0.36,3.76
2.03,1.56,0,0.17,3.76
1.4,1.39,0.1,0.86,3.74
1.37,2,0.14,0.22,3.73
1.12,1.87,0.27,0.45,3.72
1.3,0.77,1.54,0.11,3.72
1.95,0.86,0.59,0.31,3.71
1.93,1.58,0,0.19,3.71
1.33,1.68,0.13,0.57,3.71
0.58,2.48,0.04,0.59,3.7
1.49,0.73,1.38,0.1,3.7
0,0,3.67,0,3.67
2.13,1.18,0.01,0.35,3.67
2.04,1.28,0.02,0.32,3.66
1.58,1.59,0.08,0.41,3.66
1.65,1.21,0,0.79,3.65
1.87,1.13,0.55,0.1,3.65
2.53,0.81,0.06,0.24,3.65
2.08,1.09,0.15,0.33,3.64
2.23,0.68,0.66,0.06,3.63
0.05,0,0.64,2.93,3.63
2.08,0.83,0.46,0.25,3.62
2.32,0.96,0,0.34,3.62
0.6,2.45,0.05,0.52,3.62
1.93,1.22,0.03,0.44,3.61
2.05,1.4,0,0.16,3.61
2.02,1.17,0,0.42,3.61
2.38,0.67,0.46,0.1,3.6
1.35,1.55,0.17,0.51,3.59
2.18,1.02,0.03,0.37,3.59
1.88,1.39,0,0.31,3.59
1.6,1.49,0.1,0.39,3.58
2.01,1.35,0.06,0.16,3.58
1.57,1.79,0,0.2,3.56
1.56,1.4,0.07,0.5,3.54
1.23,1.77,0.05,0.49,3.54
1.66,1.58,0.12,0.18,3.54
1.9,1.13,0.1,0.41,3.53
1.98,1.14,0.01,0.41,3.53
1.96,1.33,0,0.23,3.52
0.71,2.39,0.02,0.4,3.52
2.14,1.21,0.01,0.17,3.52
2.66,0.49,0.05,0.3,3.51
1.17,0.5,1.75,0.08,3.51
2.27,0.9,0,0.33,3.5
1.64,0.38,1.42,0.06,3.5
2.11,0.93,0.12,0.34,3.5
2.85,0.38,0.03,0.24,3.49
0.59,2.36,0.04,0.51,3.49
1.3,1.42,0.27,0.5,3.49
2.2,0.95,0.02,0.31,3.48
2.15,1.01,0.02,0.31,3.48
2.1,1.01,0.04,0.32,3.47
1.21,1.62,0.27,0.37,3.46
2.1,1.01,0.01,0.35,3.46
0.59,1.79,0.73,0.34,3.45
0,0,3.44,0,3.44
2.4,0.71,0.03,0.29,3.44
1.55,1.27,0.33,0.29,3.44
0.86,0,2.55,0.02,3.42
1.13,2.07,0,0.22,3.42
1.09,1.36,0.49,0.48,3.41
1.75,1.2,0.02,0.43,3.41
1.73,0.69,0.59,0.4,3.41
0.46,2.28,0.05,0.61,3.4
1.83,1.05,0.06,0.46,3.39
1.56,1.47,0.19,0.17,3.39
0.81,1.99,0.07,0.52,3.39
2.04,1.02,0,0.32,3.38
2.14,0.92,0,0.31,3.37
2.47,0.76,0,0.13,3.36
1.9,0.67,0.73,0.06,3.36
0.88,1.7,0.1,0.67,3.35
1.63,1.53,0,0.18,3.34
0,0.99,2.32,0.02,3.33
1.45,1.29,0.12,0.46,3.33
1.44,1.01,0.57,0.3,3.33
0.27,0.21,2.79,0.05,3.32
1.47,1.39,0.03,0.43,3.32
1.4,0.91,0.74,0.26,3.31
1.99,1.05,0.05,0.22,3.31
1.9,1.11,0.01,0.29,3.3
1.5,1.28,0.05,0.46,3.28
0.09,0,3.18,0.01,3.28
2.61,0.33,0,0.34,3.28
1.89,1.05,0.02,0.31,3.27
0.6,1.57,0.82,0.27,3.26
0.5,1.58,0.31,0.87,3.25
0.89,2.12,0,0.24,3.25
1.35,1.11,0.46,0.32,3.25
0.95,1.3,0.77,0.22,3.24
2.34,0.3,0,0.6,3.24
0.72,1.67,0.4,0.44,3.23
1.91,1,0.03,0.29,3.23
1.72,1.33,0,0.16,3.21
1.18,0.89,0.94,0.2,3.21
1.76,1.21,0.07,0.16,3.2
0.73,0.1,2.35,0.02,3.2
2.26,0.72,0.12,0.1,3.2
0,0,3.19,0,3.19
1.48,1,0.04,0.66,3.18
1.78,1.12,0.09,0.19,3.18
1.35,0.59,0.8,0.43,3.18
2.15,0.76,0.01,0.26,3.17
1.27,1.29,0.12,0.49,3.17
2.06,0.56,0.38,0.17,3.17
1.92,0.16,0.99,0.09,3.15
0.68,0,0,2.46,3.14
1.87,0.97,0,0.3,3.14
1.7,1.25,0.02,0.16,3.13
1.06,1.09,0.76,0.22,3.13
2.14,0.86,0,0.13,3.12
2.31,0.62,0.14,0.04,3.12
1.21,1.56,0.06,0.29,3.12
0.08,0,3.03,0.01,3.12
0.55,0.5,1.93,0.13,3.11
1.52,1.03,0.1,0.46,3.11
0.9,1,1.03,0.17,3.11
1.69,0.85,0.14,0.43,3.1
1.4,1.01,0.46,0.23,3.1
0.88,0.94,0.88,0.4,3.1
1.99,0.81,0.03,0.27,3.1
2.17,0.28,0.55,0.08,3.09
2.5,0.16,0.01,0.42,3.08
1.92,0.45,0.64,0.07,3.08
1.57,0.62,0.55,0.34,3.07
1.72,1.21,0,0.14,3.07
1.8,0.97,0,0.29,3.06
0.51,1.02,1.4,0.12,3.05
1,1.82,0,0.23,3.05
1.89,0.88,0.04,0.25,3.05
1.75,1.01,0,0.29,3.05
1.91,0.84,0,0.29,3.04
1.94,0.84,0.03,0.24,3.04
1.29,1.21,0.06,0.47,3.03
1.54,1.33,0,0.16,3.03
1.94,0.79,0.02,0.28,3.03
1.85,1.04,0,0.13,3.02
2.03,0.47,0.45,0.07,3.02
1.45,1.13,0.07,0.38,3.02
0.61,1.85,0.11,0.44,3.01
1.4,1.06,0.08,0.47,3.01
1.38,1.32,0.02,0.28,3
2.04,0.63,0.12,0.22,3
2.6,0.2,0.01,0.19,3
1.15,0,0.76,1.09,3
1.57,1.02,0,0.41,3
1.61,0.51,0.8,0.07,2.99
1.67,1.18,0,0.13,2.99
0.12,1.26,1.16,0.45,2.99
1.36,0.86,0.64,0.13,2.99
1.58,1.01,0,0.38,2.96
1.01,1.43,0.05,0.47,2.96
1.04,1.37,0.06,0.49,2.96
1.36,1.15,0.04,0.41,2.96
1.84,0.8,0.04,0.27,2.95
1.33,1.1,0.08,0.44,2.95
1.98,0.58,0.34,0.04,2.94
2.22,0.51,0.06,0.15,2.94
1.45,1.11,0.04,0.33,2.94
2.07,0.77,0.05,0.05,2.94
1.82,0.7,0.15,0.26,2.94
1.76,0.68,0.12,0.37,2.93
1.55,0.04,1.19,0.15,2.92
1.88,0.77,0,0.27,2.92
0.79,1.92,0,0.21,2.92
1.75,0.45,0.62,0.09,2.91
1.83,0.79,0.03,0.27,2.91
1.54,1.14,0,0.22,2.9
0.08,1.24,1.13,0.45,2.9
1.75,0.86,0,0.28,2.89
0.99,0.32,1.38,0.2,2.89
1.41,1.12,0.05,0.3,2.89
1.51,1.12,0.01,0.24,2.89
0.86,1.04,0.73,0.26,2.89
2.03,0.72,0.02,0.11,2.88
1.3,1.26,0,0.31,2.87
0.09,2.43,0.12,0.22,2.87
2.53,0.15,0,0.17,2.86
2.09,0.63,0.03,0.11,2.86
1.07,1.31,0.06,0.42,2.85
1.37,1.34,0,0.14,2.85
1.37,0.51,0.89,0.07,2.85
1.29,0.53,0.98,0.05,2.85
1.98,0.53,0,0.34,2.84
2.52,0.09,0,0.22,2.83
1.32,1.08,0.04,0.39,2.83
1.65,0.85,0.05,0.28,2.83
1.96,0.67,0.1,0.09,2.82
1.87,0.55,0.11,0.29,2.82
1.59,1.05,0.04,0.14,2.82
1.51,1.03,0,0.27,2.81
0.02,2.79,0,0,2.81
1.28,1.04,0.07,0.42,2.81
0.71,1.46,0.06,0.58,2.81
1.32,1.19,0,0.3,2.8
1.32,1.06,0.04,0.38,2.8
0.29,0.2,2.13,0.18,2.79
1.96,0.72,0,0.11,2.79
1.19,1.15,0.04,0.41,2.79
1.28,0.98,0.07,0.46,2.79
0,0,2.78,0.01,2.79
1.98,0.7,0,0.11,2.79
0.46,0.29,1.96,0.07,2.79
2.19,0.22,0,0.38,2.79
1.68,0.74,0,0.36,2.78
1.44,0.83,0.26,0.25,2.78
1.05,1.23,0.03,0.47,2.78
1.35,1.13,0,0.3,2.78
0.89,1.43,0,0.46,2.78
1.5,0.8,0,0.48,2.78
1.41,1.12,0,0.24,2.77
1.45,0.86,0.09,0.38,2.77
1.74,0.77,0,0.26,2.77
1.61,0.9,0,0.25,2.76
1.45,0.07,1.1,0.15,2.76
1.25,1.14,0.07,0.3,2.76
2.56,0.17,0,0.03,2.76
1.43,0.54,0.71,0.07,2.75
1.2,0.97,0.17,0.42,2.75
1.02,0.36,1.13,0.23,2.73
1.33,0.31,1.04,0.05,2.73
1.21,1.19,0.04,0.29,2.73
0.41,1.84,0.05,0.4,2.71
1.75,0.52,0.33,0.1,2.7
0.99,0.48,1.09,0.14,2.7
1.25,0.53,0.87,0.05,2.7
1.52,0.92,0.02,0.24,2.7
1.49,0.92,0.02,0.27,2.7
2.42,0.11,0,0.16,2.69
1.85,0.64,0.01,0.19,2.69
0.89,1.33,0.08,0.39,2.69
2.38,0.12,0,0.18,2.69
1.23,1.11,0,0.34,2.68
0,0,2.68,0,2.68
1.95,0.63,0,0.09,2.67
1.63,0.51,0.35,0.18,2.67
0.28,1.39,0.68,0.32,2.67
1.48,0.92,0.01,0.26,2.67
1.44,1.09,0,0.14,2.67
1.99,0.58,0,0.09,2.66
1.78,0.63,0,0.25,2.66
0.43,2.05,0,0.17,2.65
1.59,0.8,0,0.26,2.65
1.15,1.11,0,0.4,2.65
0,0,2.65,0,2.65
0.69,1.4,0.04,0.52,2.65
2,0.5,0.12,0.03,2.65
0.86,1.11,0.01,0.66,2.65
0.78,0.73,0.89,0.23,2.63
2,0.47,0.02,0.14,2.63
1.47,0.93,0,0.24,2.63
2.15,0.12,0,0.36,2.62
1.54,0.8,0.04,0.24,2.62
2.31,0.14,0.01,0.16,2.62
0.76,1.09,0.12,0.64,2.62
0.59,1.79,0.01,0.23,2.62
1.56,0.8,0.04,0.21,2.61
0.9,1.22,0.04,0.44,2.61
1.86,0.55,0.11,0.08,2.6
1.7,0.44,0.06,0.4,2.6
2.03,0.21,0,0.35,2.59
1.05,1.05,0.24,0.24,2.58
0.48,1.63,0.04,0.43,2.58
0.62,0.82,0.96,0.18,2.58
1.4,0.88,0.03,0.26,2.58
1.53,0.81,0,0.24,2.57
1.31,0.74,0.31,0.22,2.57
2.14,0.08,0,0.35,2.57
0.37,0.27,1.75,0.18,2.57
0.93,1.1,0.08,0.45,2.56
0.99,0.52,0.92,0.14,2.56
1.7,0.59,0.21,0.07,2.56
0.15,0,2.41,0,2.56
1.04,1.22,0.03,0.27,2.56
2.11,0.22,0,0.23,2.56
1.76,0.55,0.03,0.22,2.56
1.21,0.57,0.7,0.07,2.54
0.64,1.22,0.01,0.67,2.54
2.21,0.12,0,0.2,2.53
2.36,0.14,0,0.03,2.53
1.13,1.12,0.06,0.22,2.52
0.26,1.65,0.33,0.28,2.52
2.1,0.19,0,0.23,2.52
1.55,0.75,0.16,0.06,2.52
1.48,0.83,0,0.21,2.52
0.49,0,0.52,1.51,2.52
1.11,0.85,0.29,0.25,2.5
0.13,0.07,0.26,2.05,2.5
1.28,0.14,1.08,0.01,2.5
2.29,0.02,0,0.19,2.5
1.84,0.56,0,0.09,2.49
1.81,0.52,0,0.15,2.49
1.47,0.77,0,0.24,2.48
1.03,0.81,0.26,0.38,2.48
1.15,1.14,0.06,0.13,2.48
1.13,0.36,0.92,0.07,2.47
1.38,0.84,0,0.25,2.47
1.93,0.33,0,0.21,2.47
1.73,0.43,0.05,0.27,2.47
0.86,1.04,0.18,0.38,2.47
1.15,0.84,0.1,0.38,2.46
1.47,0.54,0.01,0.43,2.45
0,0,2.43,0.02,2.45
0.93,0.12,1.34,0.06,2.45
1.56,0.53,0.05,0.31,2.45
2.12,0.25,0,0.07,2.44
1.07,1.19,0,0.18,2.43
1.52,0.82,0,0.1,2.43
1.28,0.93,0,0.22,2.43
0.5,1.5,0.05,0.37,2.43
1.46,0.74,0,0.22,2.42
2.08,0.08,0,0.26,2.42
1.27,0.32,0.78,0.05,2.42
1.26,0.61,0.46,0.08,2.42
1.56,0.6,0.02,0.23,2.42
1.65,0.57,0,0.2,2.42
0.6,1.26,0.08,0.48,2.42
0.87,0.97,0,0.58,2.42
1.63,0.22,0.51,0.06,2.41
0.29,1.17,0.54,0.41,2.41
2.07,0.26,0,0.08,2.41
0.81,0.76,0.7,0.14,2.41
0.69,0,0.04,1.68,2.41
1.44,0.7,0.04,0.22,2.4
2.1,0.24,0,0.07,2.4
0.77,0.18,1.42,0.03,2.4
2.3,0.1,0,0,2.4
2.15,0.18,0,0.07,2.39
1.49,0.81,0,0.1,2.39
1.78,0.53,0,0.08,2.39
1.67,0.61,0.03,0.07,2.38
2.04,0.15,0,0.2,2.38
1.94,0.39,0.03,0.02,2.38
1.16,0.91,0,0.3,2.38
1.48,0.69,0,0.2,2.37
2.28,0.02,0.08,0,2.37
0.96,1.08,0.04,0.3,2.37
2.18,0.01,0,0.18,2.37
1.25,0.86,0.01,0.26,2.37
1.74,0.45,0,0.18,2.37
2.03,0.13,0,0.21,2.37
0.69,0.14,1.48,0.05,2.36
1.68,0.45,0.01,0.21,2.35
1.39,0.48,0.4,0.08,2.35
0,0,2.34,0.01,2.35
1.73,0.43,0.02,0.17,2.35
0.92,0,0.01,1.41,2.34
1.15,0.55,0.47,0.17,2.34
1.51,0.61,0,0.21,2.34
1.08,0.7,0.34,0.21,2.34
1.95,0.15,0,0.24,2.34
1.38,0.72,0.02,0.22,2.34
1.18,0.9,0,0.24,2.32
0.78,0.4,1.06,0.07,2.32
0.79,1.35,0.04,0.14,2.32
0.85,1.06,0.09,0.32,2.31
1.58,0.64,0,0.09,2.31
0.28,0,2.02,0.01,2.31
0.96,1.07,0,0.27,2.31
1.65,0.46,0.1,0.1,2.31
1.12,0.41,0.64,0.14,2.3
0.51,0.45,1.21,0.13,2.3
1.07,0.8,0.04,0.38,2.29
0.91,1.25,0,0.13,2.29
0,0,2.29,0,2.29
1.02,0.9,0,0.36,2.29
1.38,0.8,0,0.1,2.28
0.3,1.27,0.46,0.26,2.28
0.51,0.12,1.63,0.02,2.28
0.38,0.07,0.01,1.82,2.28
1.07,0.99,0,0.22,2.28
1.27,0.81,0,0.2,2.28
0.94,0.53,0.62,0.18,2.28
0.07,2,0.02,0.18,2.28
1.08,0.73,0.15,0.31,2.27
1.22,0.1,0.91,0.04,2.27
0.9,0.73,0.54,0.09,2.26
1.34,0.6,0,0.31,2.26
0.6,1.25,0.06,0.35,2.26
1.28,0.77,0,0.2,2.25
0.62,0.44,1.06,0.13,2.25
1.52,0.46,0.2,0.08,2.25
1.48,0.25,0.46,0.06,2.25
1.93,0.15,0,0.17,2.25
1.23,0.63,0.04,0.35,2.25
1.4,0.53,0.02,0.3,2.24
1.19,0.71,0.22,0.13,2.24
1.05,0.91,0.04,0.24,2.24
